id,item,recorded_qty_per_robot,identity_status,recorded_mpn,source,interpretation
B1,Dynamixel XL330-M288-T smart servo,15,community-derived sub-variant,XL330-M288-T (ROBOTIS SKU 902-0163-000),spec/sourcing.json#B1,Recorded sourcing line; identity/quantity provisional unless separately established. Not an order.
B2,"Robot Cable-X3P 180 mm, 10-pack (Dynamixel bus leads)",2,confirmed at vendor,"903-0251-000 (Robot Cable-X3P Convertible 180 mm, 10 pcs)",spec/sourcing.json#B2,"Recorded qty is ten-packs, not cable count. Net extra depends on verified 15 included retail servo leads; whole robot 15–16 runs. Confirm lengths."
B3,Radxa ZERO 3W single-board computer,1,FAIL - the specified configuration is absent from the maker's own SKU table,1 GB LPDDR4 / 32 GB eMMC configuration absent from published Radxa catalogue; OEM SKU CANNOT DETERMINE,spec/sourcing.json#B3,Recorded sourcing line; identity/quantity provisional unless separately established. Not an order.
B4,"NP-F550-form-factor 2S Li-ion pack, 7.2 V, 2600 mAh (+ dual-charger share)",1,"form factor known, part not",CANNOT DETERMINE - the maker of the fitted pack is unidentified,spec/sourcing.json#B4,Recorded sourcing line; identity/quantity provisional unless separately established. Not an order.
B6,"IMX219 camera board, M12 mount, with lens",1,representative substitute,Arducam B0183 (representative). The module Pollen fits: CANNOT DETERMINE,spec/sourcing.json#B6,Recorded sourcing line; identity/quantity provisional unless separately established. Not an order.
B7,M12 wide-angle lens (only if the camera board is bought bare),1,representative substitute; the required focal length is not fixed,Arducam M40180H13L (representative). Required FOV: CANNOT DETERMINE,spec/sourcing.json#B7,Recorded sourcing line; identity/quantity provisional unless separately established. Not an order.
B8,"22-pin 0.5 mm MIPI CSI FFC ribbon, Radxa to camera",1,class identified; exact part and length unknown,22-pin 0.5 mm to 15-pin 1.0 mm FPC camera cable (the Pi-Zero-class part). The ribbon Pollen fits: CANNOT DETERMINE,spec/sourcing.json#B8,Recorded sourcing line; identity/quantity provisional unless separately established. Not an order.
B9,Time-of-Flight 8x8 multizone ranger (module or bare die),1,generation unresolved,VL53L8CX or VL53L5CX - which generation ships is CANNOT DETERMINE (both drivers are vendored in Pollen's source),spec/sourcing.json#B9,Recorded sourcing line; identity/quantity provisional unless separately established. Not an order.
B10,Ball bearing 22 x 16 x 4 mm (thin section),11,designation confirmed from dimensions; Pollen's own MPN CANNOT DETERMINE,"MR1622-ZZ (aliases ET2216ZZ, SET2216, A2216, DDA2216(ZZ), 1622ZZ)",spec/sourcing.json#B10,Recorded sourcing line; identity/quantity provisional unless separately established. Not an order.
B11,Ball bearing 15 x 10 x 3 mm,3,"10 x 15 x 3 mm published mesh envelope confirmed; original installed manufacturer, closure and grade unknown",MR6700 / 6700 / 61700 open (dimensional candidates; original MPN unknown),spec/sourcing.json#B11,Recorded sourcing line; identity/quantity provisional unless separately established. Not an order.
B12,"Speaker, 35 x 25 x 7 mm, 8 ohm, 2 W (head)",1,unknown; two catalogued substitutes priced,"CANNOT DETERMINE - Pollen's mesh is a 12-triangle box, no part number anywhere",spec/sourcing.json#B12,Recorded sourcing line; identity/quantity provisional unless separately established. Not an order.
B13,Microphone(s),,unknown,CANNOT DETERMINE,spec/sourcing.json#B13,Recorded sourcing line; identity/quantity provisional unless separately established. Not an order.
B14,NFC reader IC + 2 antennas (head and beak),1,candidate set of two,CANNOT DETERMINE which IC ships. Two candidates are fully characterised in ce-parts (both graded PASS there): NXP PN7150 and ST ST25R3916.,spec/sourcing.json#B14,Recorded sourcing line; identity/quantity provisional unless separately established. Not an order.
B15,Camera-in-use indicator LED,1,unknown,CANNOT DETERMINE,spec/sourcing.json#B15,Recorded sourcing line; identity/quantity provisional unless separately established. Not an order.
B16,Bluetooth gamepad (Xbox-style),1,unknown,CANNOT DETERMINE,spec/sourcing.json#B16,Recorded sourcing line; identity/quantity provisional unless separately established. Not an order.
B17,USB-C cable,1,unknown,CANNOT DETERMINE,spec/sourcing.json#B17,Recorded sourcing line; identity/quantity provisional unless separately established. Not an order.
B18a,"M2 x 6 socket head cap screw, A2 stainless, DIN 912",80,standard,DIN 912 / ISO 4762 M2x6 A2,spec/sourcing.json#B18a,Old assortment not complete or upper bound; corrected fastener audit governs; no procurement quantity release.
B18b,"M2 socket head cap screws, other lengths (x4, x8, x12) + M2 nuts + M2.5x6",185,standard,DIN 912 M2x4 / M2x8 / M2x12 A2; DIN 934 M2 nut A2; DIN 912 M2.5x6 A2,spec/sourcing.json#B18b,Old assortment not complete or upper bound; corrected fastener audit governs; no procurement quantity release.
B18c,"M2 heat-set threaded inserts, brass, ~3.0 mm",60,"standard class, vendor-specific part",M2 x 3.0 mm brass heat-set insert (no single industry designation),spec/sourcing.json#B18c,Old assortment not complete or upper bound; corrected fastener audit governs; no procurement quantity release.
B19a,PLA filament (hard printed parts),0.2182946,matches the sliced preset exactly,"Bambu Lab PLA Basic, 1.75 mm, 1 kg spool",spec/sourcing.json#B19a,Stored slice/preset estimate only; current print plate and material validation governs.
B19b,"TPU filament (soft parts: soles x2, jaw_soft, soft_mouth_top)",0.0262028,matches the sliced preset exactly,"Bambu Lab TPU 85A, 1.75 mm, 1 kg spool",spec/sourcing.json#B19b,Stored slice/preset estimate only; current print plate and material validation governs.
P1c,TLV320AIC3104IRHBR stereo audio codec (on the Robot HAT),1,confirmed,TLV320AIC3104IRHBR,spec/sourcing.json#P1c,Recorded sourcing line; identity/quantity provisional unless separately established. Not an order.
P2c,"LSM6DSV16X 6-axis IMU (on the imu_to_dxl board, Dynamixel slave ID 200)",1,confirmed,LSM6DSV16XTR,spec/sourcing.json#P2c,Recorded sourcing line; identity/quantity provisional unless separately established. Not an order.
P1d,BMI088 6-axis IMU (dormant footprint on the Robot HAT),1,confirmed,BMI088,spec/sourcing.json#P1d,Recorded sourcing line; identity/quantity provisional unless separately established. Not an order.
R1,USB-C CC/PD controller fitted on the Radxa ZERO 3W (reference line - NOT separately purchased),0,"two names, one socket - resolved by lane C in favour of ET7301B on the schematic","ET7301B (Radxa's U6). Pollen's device tree names FUSB302, which is the DRIVER name, not the fitted die (part:fusb302 record.title).",spec/sourcing.json#R1,Reference integrated component; qty=0: do not purchase separately.
R2,"MCP73213 2S Li-ion charge controller (in the external charger, not the robot)",0,family confirmed (part:mcp73213 verdict PASS); the exact option suffix a bespoke charger needs depends on the chosen float voltage (8.2 / 8.4 / 8.7 / 8.8 V),MCP73213-A6SI/MF (DFN-10 3x3),spec/sourcing.json#R2,Reference integrated component; qty=0: do not purchase separately.
R3,"S-8252 2S battery protection IC (inside the NP-F550 pack, not separately purchased)",0,"series confirmed, option unknown",S-8252 series; exact suffix CANNOT DETERMINE (the series has ~30 detection-voltage options and the fitted pack is unidentified),spec/sourcing.json#R3,Reference integrated component; qty=0: do not purchase separately.
C1,"JST EH 3-pin connector kit for the Dynamixel bus, if the harness is crimped rather than bought",1,confirmed - these are exactly the parts wiring/CABLES.md names,JST EHR-3 (housing) + JST SEH-001T-P0.6 (crimp contact),spec/sourcing.json#C1,Recorded sourcing line; identity/quantity provisional unless separately established. Not an order.
C2,JST SH 4-pin (ToF / Stemma) and GH 2-pin (speaker) housings,1,SH 4-pin confirmed at the HAT's J5; the ToF-board end and the HAT speaker end are CANNOT DETERMINE,"JST SHR-04V-S-B (1.00 mm, 4 pos) + JST GHR-02V-S (1.25 mm, 2 pos)",spec/sourcing.json#C2,Recorded sourcing line; identity/quantity provisional unless separately established. Not an order.
P1,"Robot HAT - custom PCB, bare board + assembly",1,"in-house design, DRC verdict FAIL - quotable as an outline and stackup, not releasable as artwork",microduck_robot_hat (this repository's own design; fab package electronics/robot-hat/out/fab/microduck_robot_hat-fab.zip),spec/sourcing.json#P1,Recorded sourcing line; identity/quantity provisional unless separately established. Not an order.
P2,"imu_to_dxl v2 - custom PCB, bare board + assembly",1,"in-house design, DRC verdict FAIL - quotable as an outline and stackup, not releasable as artwork",microduck_imu_to_dxl (this repository's own design; fab package electronics/imu-to-dxl/out/fab/microduck_imu_to_dxl-fab.zip),spec/sourcing.json#P2,Recorded sourcing line; identity/quantity provisional unless separately established. Not an order.
P3,"Banana battery-contact PCB - custom, bare board + contacts",1,"in-house design, DRC verdict CANNOT DETERMINE - the outline and stackup are quotable, the contact part is not",microduck_banana_contact (this repository's own design; fab package electronics/banana-contact/out/fab/microduck_banana_contact-fab.zip),spec/sourcing.json#P3,Recorded sourcing line; identity/quantity provisional unless separately established. Not an order.
