part,robots,required_pieces,route,order_code,closure,material,unit_price,currency,extended_parts_only,stock_observation,quote_status,url
bearing-22x16x4,1,11,NZ Miniature Bearings distributor; manufacturer unverified,MR1622-ZZ / 00206030,two non-contact metal shields,GCr15,5.9,NZD,64.9,Page says in stock; no quantity,"Retail extrapolation, not volume offer or stock commitment; GST and freight extra",https://nzminiaturebearings.co.nz/product/16x22x4-mm-mr1622-zz-bearing-sku-00206030.html
bearing-22x16x4,100,1100,NZ Miniature Bearings distributor; manufacturer unverified,MR1622-ZZ / 00206030,two non-contact metal shields,GCr15,5.9,NZD,6490.0,Page says in stock; no quantity,"Retail extrapolation, not volume offer or stock commitment; GST and freight extra",https://nzminiaturebearings.co.nz/product/16x22x4-mm-mr1622-zz-bearing-sku-00206030.html
bearing-22x16x4,1000,11000,NZ Miniature Bearings distributor; manufacturer unverified,MR1622-ZZ / 00206030,two non-contact metal shields,GCr15,5.9,NZD,64900.0,Page says in stock; no quantity,"Retail extrapolation, not volume offer or stock commitment; GST and freight extra",https://nzminiaturebearings.co.nz/product/16x22x4-mm-mr1622-zz-bearing-sku-00206030.html
bearing-22x16x4,1,11,"SMB, stated authorized EZO UK distributor",ET2216,open,chrome steel,,,,No product stock quantity observed,RFQ; exact dimensional/type candidate; brand/order suffix and original identity still require confirmation,https://www.smbbearings.com/products/thin-section-bearings.html
bearing-22x16x4,100,1100,"SMB, stated authorized EZO UK distributor",ET2216,open,chrome steel,,,,No product stock quantity observed,RFQ; exact dimensional/type candidate; brand/order suffix and original identity still require confirmation,https://www.smbbearings.com/products/thin-section-bearings.html
bearing-22x16x4,1000,11000,"SMB, stated authorized EZO UK distributor",ET2216,open,chrome steel,,,,No product stock quantity observed,RFQ; exact dimensional/type candidate; brand/order suffix and original identity still require confirmation,https://www.smbbearings.com/products/thin-section-bearings.html
bearing-22x16x4,1,11,"MVB Xiamen Power-Star, China manufacturer catalog",ET-2216,not specified on product page,not specified on product page,,,,No stock or prices observed,Dimensional candidate only; obtain drawing/closure/material/grade confirmation before comparing types,https://www.mvbbearing.com/productInfo/681882c2-e6f4-45b0-ab5d-266f7a55174d.html
bearing-22x16x4,100,1100,"MVB Xiamen Power-Star, China manufacturer catalog",ET-2216,not specified on product page,not specified on product page,,,,No stock or prices observed,Dimensional candidate only; obtain drawing/closure/material/grade confirmation before comparing types,https://www.mvbbearing.com/productInfo/681882c2-e6f4-45b0-ab5d-266f7a55174d.html
bearing-22x16x4,1000,11000,"MVB Xiamen Power-Star, China manufacturer catalog",ET-2216,not specified on product page,not specified on product page,,,,No stock or prices observed,Dimensional candidate only; obtain drawing/closure/material/grade confirmation before comparing types,https://www.mvbbearing.com/productInfo/681882c2-e6f4-45b0-ab5d-266f7a55174d.html
bearing-15x10x3,1,3,Bearings Direct / AMPEC retail,6700 (interchange MR6700),open,"SAE52100, light oil",4.86,USD,14.58,721 pieces displayed; usually ships in 24 hours,1/100 robot demand below displayed count; 1000 robot demand exceeds by2279. 15% at50+ applied mathematically; stock and delivered quote not guaranteed,https://bearingsdirect.com/6700-ball-bearing-10x15x3-open-mr6700/
