number,part,slug,quantity,material,stl_in_zip,bbox_mm,orientation_note,source,step
1,Ankle Left,microduck-ankle-left,1,PLA,PLA/01 Ankle Left x1.stl,"[39.5, 36.5, 25.5]",auto-orient: bearing bore vertical,"vendor mesh (Pollen reference asset, loaded as-is)",no solid CAD source
2,Ankle Right,microduck-ankle-right,1,PLA,PLA/02 Ankle Right x1.stl,"[39.5, 36.5, 25.5]",auto-orient: bearing bore vertical,"vendor mesh (Pollen reference asset, loaded as-is)",no solid CAD source
3,Banana Pcb Locker,microduck-banana-pcb-locker,1,PLA,PLA/03 Banana Pcb Locker x1.stl,"[54.0, 3.8, 6.6]","bar flat on its 54 mm face, eyes up",our parametric rebuild (latest PASS refcheck ours.stl),yes
4,Bearing Roll,microduck-bearing-roll,2,PLA,PLA/04 Bearing Roll x2.stl,"[23.0, 3.0, 40.0]","3 mm plate flat, bore vertical",our parametric rebuild (latest PASS refcheck ours.stl),yes
5,Bottom Head Shell,microduck-bottom-head-shell,1,PLA,PLA/05 Bottom Head Shell x1.stl,"[91.8, 116.7, 20.1]",outer face down per auto-orient,"vendor mesh (Pollen reference asset, loaded as-is)",no solid CAD source
6,Eye Ring,microduck-eye-ring,1,PLA,PLA/06 Eye Ring x1.stl,"[30.0, 9.5, 30.0]",ring flat on the bed,"vendor mesh (Pollen reference asset, loaded as-is)",no solid CAD source
7,Face Part,microduck-face-part,1,PLA,PLA/07 Face Part x1.stl,"[87.7, 12.5, 44.6]","face plate back-side down, eyes up","vendor mesh (Pollen reference asset, loaded as-is)",no solid CAD source
8,Foot Left,microduck-foot-left,1,PLA,PLA/08 Foot Left x1.stl,"[40.1, 54.0, 16.9]","sole face down, toes up",vendor mesh as shelved (ce-parts iterations geometry),no solid CAD source
9,Foot Right,microduck-foot-right,1,PLA,PLA/09 Foot Right x1.stl,"[40.1, 54.0, 16.9]","sole face down, toes up",vendor mesh as shelved (ce-parts iterations geometry),no solid CAD source
10,Hip Bracket,microduck-hip-bracket,2,PLA,PLA/10 Hip Bracket x2.stl,"[32.4, 34.5, 19.0]","auto-orient: bracket web down, bearing seat vertical",Current CAD revision,yes
11,Jaw,microduck-jaw,1,PLA,PLA/11 Jaw x1.stl,"[91.4, 68.7, 29.4]",beak underside down per auto-orient,vendor mesh as shelved (ce-parts iterations geometry),no solid CAD source
13,M12 Lens Holder,microduck-m12-lens-holder,1,PLA,PLA/13 M12 Lens Holder x1.stl,"[24.0, 14.8, 16.0]",threaded bore vertical,"vendor mesh (Pollen reference asset, loaded as-is)",no solid CAD source
14,Motor Support,microduck-motor-support,1,PLA,PLA/14 Motor Support x1.stl,"[73.5, 54.2, 18.8]","plate flat, servo pockets up",vendor mesh as shelved (ce-parts iterations geometry),no solid CAD source
15,Neck Pitch Bracket,microduck-neck-pitch-bracket,1,PLA,PLA/15 Neck Pitch Bracket x1.stl,"[35.0, 18.0, 27.7]",auto-orient: bearing seat vertical,vendor mesh as shelved (ce-parts iterations geometry),no solid CAD source
16,Neck Plate,microduck-neck-plate,2,PLA,PLA/16 Neck Plate x2.stl,"[2.0, 20.0, 11.0]",2 mm plate flat on the bed,vendor mesh as shelved (ce-parts iterations geometry),no solid CAD source
