identity,buy_line,buy_qty,modeled_qty,buy_minus_modeled,xl330_pilot_qty_thread_unverified,verdict,source,notes
M2 x 4 ISO4762 modeled/metric buy description,B18b,60,4,56,0,UNVERIFIED_NEED_OR_SURPLUS,spec/sourcing.json B18a/B18b rfq_spec; out/fasteners/placed.json; assembly bom.json,"Nominal identity comparison only, not final thread/head/length validation; no bundled TAP equivalence credited."
M2 x 5 ISO4762 modeled/metric buy description,,0,12,-12,8,OMITTED_FROM_BUYLIST,spec/sourcing.json B18a/B18b rfq_spec; out/fasteners/placed.json; assembly bom.json,"Nominal identity comparison only, not final thread/head/length validation; no bundled TAP equivalence credited."
M2 x 6 ISO4762 modeled/metric buy description,B18a,80,21,59,21,UNVERIFIED_NEED_OR_SURPLUS,spec/sourcing.json B18a/B18b rfq_spec; out/fasteners/placed.json; assembly bom.json,"Nominal identity comparison only, not final thread/head/length validation; no bundled TAP equivalence credited."
M2 x 8 ISO4762 modeled/metric buy description,B18b,40,12,28,12,UNVERIFIED_NEED_OR_SURPLUS,spec/sourcing.json B18a/B18b rfq_spec; out/fasteners/placed.json; assembly bom.json,"Nominal identity comparison only, not final thread/head/length validation; no bundled TAP equivalence credited."
M2 x 10 ISO4762 modeled/metric buy description,,0,8,-8,7,OMITTED_FROM_BUYLIST,spec/sourcing.json B18a/B18b rfq_spec; out/fasteners/placed.json; assembly bom.json,"Nominal identity comparison only, not final thread/head/length validation; no bundled TAP equivalence credited."
M2 x 12 ISO4762 modeled/metric buy description,B18b,15,4,11,4,UNVERIFIED_NEED_OR_SURPLUS,spec/sourcing.json B18a/B18b rfq_spec; out/fasteners/placed.json; assembly bom.json,"Nominal identity comparison only, not final thread/head/length validation; no bundled TAP equivalence credited."
M2.5 x 6 ISO4762 modeled/metric buy description,B18b,20,0,20,0,UNVERIFIED_NEED_OR_SURPLUS,spec/sourcing.json B18a/B18b rfq_spec; out/fasteners/placed.json; assembly bom.json,"Nominal identity comparison only, not final thread/head/length validation; no bundled TAP equivalence credited."
M2.5 x 8 ISO4762 modeled/metric buy description,,0,3,-3,0,OMITTED_FROM_BUYLIST,spec/sourcing.json B18a/B18b rfq_spec; out/fasteners/placed.json; assembly bom.json,"Nominal identity comparison only, not final thread/head/length validation; no bundled TAP equivalence credited."
M2 DIN934 nut,B18b,50,0,50,0,NO_PLACED_SCREW_SCHEDULE_PROOF,spec/sourcing.json; out/fasteners/placed.json (screw-only scope),Absence from screw-only placements does not prove no nuts/inserts needed.
M2 heat-set insert ~3mm,B18c,60,0,60,0,NO_PLACED_SCREW_SCHEDULE_PROOF,spec/sourcing.json; out/fasteners/placed.json (screw-only scope),Absence from screw-only placements does not prove no nuts/inserts needed.
