id,item,quantity,exact_part,identity_status
B1,Dynamixel XL330-M288-T smart servo,15,XL330-M288-T (ROBOTIS SKU 902-0163-000),community-derived sub-variant
B2,"Robot Cable-X3P 180 mm, 10-pack (Dynamixel bus leads)",2,"903-0251-000 (Robot Cable-X3P Convertible 180 mm, 10 pcs)",confirmed at vendor
B3,Radxa ZERO 3W single-board computer,1,1 GB LPDDR4 / 32 GB eMMC configuration absent from published Radxa catalogue; OEM SKU CANNOT DETERMINE,FAIL - the specified configuration is absent from the maker's own SKU table
B4,NP-F550-class battery plus one dual charger per robot (whole retail kit),1,CANNOT DETERMINE - the maker of the fitted pack is unidentified,original pack/charger unknown; conditional whole-kit candidates
B6,"IMX219 camera board, M12 mount, with lens",1,Arducam B0183 (representative). The module Pollen fits: CANNOT DETERMINE,representative substitute
B7,M12 wide-angle lens (only if the camera board is bought bare),1,Arducam M40180H13L (representative). Required FOV: CANNOT DETERMINE,representative substitute; the required focal length is not fixed
B8,"22-pin 0.5 mm MIPI CSI FFC ribbon, Radxa to camera",1,22-pin 0.5 mm to 15-pin 1.0 mm FPC camera cable (the Pi-Zero-class part). The ribbon Pollen fits: CANNOT DETERMINE,class identified; exact part and length unknown
B9,ToF module on four-pin J5/Qwiic interface; original carrier unknown,1,VL53L5CX or VL53L8CX both occur per official runtime; installed carrier order code unknown,generation varies by unit; module identity and installed geometry unresolved
B10,Ball bearing 22 x 16 x 4 mm (thin section),11,"MR1622-ZZ (aliases ET2216ZZ, SET2216, A2216, DDA2216(ZZ), 1622ZZ)",designation confirmed from dimensions; Pollen's own MPN CANNOT DETERMINE
B11,Ball bearing 15 x 10 x 3 mm,3,MR6700 / 6700 / 61700 open (dimensional candidates; original MPN unknown),"10 x 15 x 3 mm published mesh envelope confirmed; original installed manufacturer, closure and grade unknown"
B12,"Speaker, reference envelope 35 x 25 x 7 mm (head); original electrical specification unknown",1,CANNOT DETERMINE - original unit speaker not identified; local reference mesh is a 12-triangle placeholder,"unknown original; one priced conditional dimensional candidate, historical oversized offers rejected"
B13,Microphone(s),,CANNOT DETERMINE,unknown
B14,NFC reader IC + 2 antennas (head and beak),1,CANNOT DETERMINE which IC ships. Two candidates are fully characterised in ce-parts (both graded PASS there): NXP PN7150 and ST ST25R3916.,candidate set of two
B15,Camera-in-use indicator LED,1,CANNOT DETERMINE,unknown
B16,Bluetooth gamepad (Xbox-style),1,CANNOT DETERMINE,unknown
B17,USB-C cable,1,CANNOT DETERMINE,unknown
B18a,"M2 x 6 socket head cap screw, A2 stainless, DIN 912",80,DIN 912 / ISO 4762 M2x6 A2,standard
B18b,"M2 socket head cap screws, other lengths (x4, x8, x12) + M2 nuts + M2.5x6",185,DIN 912 M2x4 / M2x8 / M2x12 A2; DIN 934 M2 nut A2; DIN 912 M2.5x6 A2,standard
B18c,"M2 heat-set threaded inserts, brass, ~3.0 mm",60,M2 x 3.0 mm brass heat-set insert (no single industry designation),"standard class, vendor-specific part"
B19a,PLA filament (hard printed parts),0.2182946,"Bambu Lab PLA Basic, 1.75 mm, 1 kg spool",matches the sliced preset exactly
B19b,"TPU filament (soft parts: soles x2, jaw_soft, soft_mouth_top)",0.0262028,"Bambu Lab TPU 85A, 1.75 mm, 1 kg spool",matches the sliced preset exactly
P1c,TLV320AIC3104IRHBR stereo audio codec (on the Robot HAT),1,TLV320AIC3104IRHBR,confirmed
P2c,"LSM6DSV16X 6-axis IMU (on the imu_to_dxl board, Dynamixel slave ID 200)",1,LSM6DSV16XTR,confirmed
P1d,BMI088 6-axis IMU (dormant footprint on the Robot HAT),1,BMI088,confirmed
R1,USB-C CC/PD controller fitted on the Radxa ZERO 3W (reference line - NOT separately purchased),0,"ET7301B (Radxa's U6). Pollen's device tree names FUSB302, which is the DRIVER name, not the fitted die (part:fusb302 record.title).","two names, one socket - resolved by lane C in favour of ET7301B on the schematic"
R2,"MCP73213 2S Li-ion charge controller (in the external charger, not the robot)",0,MCP73213-A6SI/MF (DFN-10 3x3),family confirmed (part:mcp73213 verdict PASS); the exact option suffix a bespoke charger needs depends on the chosen float voltage (8.2 / 8.4 / 8.7 / 8.8 V)
R3,"S-8252 2S battery protection IC (inside the NP-F550 pack, not separately purchased)",0,S-8252 series; exact suffix CANNOT DETERMINE (the series has ~30 detection-voltage options and the fitted pack is unidentified),"series confirmed, option unknown"
C1,"JST EH 3-pin connector kit for the Dynamixel bus, if the harness is crimped rather than bought",1,JST EHR-3 (housing) + JST SEH-001T-P0.6 (crimp contact),confirmed - these are exactly the parts wiring/CABLES.md names
C2,JST SH 4-pin (ToF / Stemma) and GH 2-pin (speaker) housings,1,"JST SHR-04V-S-B (1.00 mm, 4 pos) + JST GHR-02V-S (1.25 mm, 2 pos)",SH 4-pin confirmed at the HAT's J5; the ToF-board end and the HAT speaker end are CANNOT DETERMINE
P1,"Robot HAT - custom PCB, bare board + assembly",1,microduck_robot_hat (this repository's own design; fab package electronics/robot-hat/out/fab/microduck_robot_hat-fab.zip),"in-house design, DRC verdict FAIL - quotable as an outline and stackup, not releasable as artwork"
