id,packet,item,中文,category,qty per robot,qty for 10 robots,qty for 100 robots,exact part (MPN),identity status,verdict,what to do now,现在怎么做,specification for the supplier,best price we read (unit),currency,read from vendor,open questions
B1,B,Dynamixel XL330-M288-T smart servo,舵机 ROBOTIS DYNAMIXEL XL330-M288-T,actuator,15,150,1500,XL330-M288-T (ROBOTIS SKU 902-0163-000),community-derived sub-variant,PASS,"QUOTE BOTH ROUTES, DO NOT BUY: Dynamixel XL330 (imported) vs Feetech STS3215 (Shenzhen). Leif decides after prices.",两条路线都报价，先不买：Dynamixel XL330（进口）对比 飞特 STS3215（深圳本地）。Leif 看价后决定。,"ROBOTIS DYNAMIXEL XL330-M288-T, TTL half-duplex multidrop bus, Protocol 2.0, 288.4:1, 18 g. Horn hardware and X3P leads as supplied. Quantities are per robot x order size.",23.90000,USD,ROBOTIS International,"OEM / volume price at 225, 1 500 or 15 000 servos: CANNOT DETERMINE. ROBOTIS publishes no XL330 bulk pack (https://www.robotis.us/bulk-pack/ lists only AX/MX 6-piece packs) and no tier table. The only published volume signal is AX-12A single $57.39 vs 6pcs bulk $310.39 = -9.9 %, a different servo. A written quote settles it: america@robotis.com / contactus2@robotis.com. | Whether production servos are stock parts at all: the design runs them on a 6.6-8.2 V pack against a published 3.7-6.0 V input band (part:xl330-m288-t record.why)."
B2,B,"Robot Cable-X3P 180 mm, 10-pack (Dynamixel bus leads)",舵机总线线 X3P 180mm（10条装）,connector,2,20,200,"903-0251-000 (Robot Cable-X3P Convertible 180 mm, 10 pcs)",confirmed at vendor,PASS,Quote with the servos; retail XL330 may include one lead each.,与舵机一起报价；零售 XL330 可能每只附一条线。,"ROBOTIS Robot Cable-X3P (convertible), 180 mm, 10 pieces per pack. JST EH 3-pin (EHR-03 housing, SEH-001T-P0.6 crimp) at both ends. Our measured cut lengths are 20-165 mm (wiring/CABLES.md); 180 mm is the shortest priced bracket, so every lead is over-length and must be routed with the slack recorded per cable.",15.50000,USD,ROBOTIS International,"Per-link cable lengths as Pollen ships them: CANNOT DETERMINE (docs/BOM.md B2). Our lengths are route floors + slack, measured off spec/mesh-placements.json."
B3,F,Radxa ZERO 3W single-board computer,Radxa ZERO 3W 单板电脑,compute,1,10,100,1 GB LPDDR4 / 32 GB eMMC configuration absent from published Radxa catalogue; OEM SKU CANNOT DETERMINE,FAIL - the specified configuration is absent from the maker's own SKU table,FAIL,CONFIRM FIRST: the 1 GB/32 GB configuration is not in Radxa's catalogue. Propose what is in stock (2 GB/16 GB preferred).,先确认：1GB/32GB 配置官网目录没有。请报现货配置（优先 2GB/16GB）。,"Radxa ZERO 3W, RK3566 quad Cortex-A55, 40-pin GPIO header PRE-SOLDERED, 22-pin MIPI CSI 0.5 mm, Wi-Fi 6 / BT 5.4, 2x USB-C. Configuration required: 1 GB LPDDR4 with 32 GB eMMC if Radxa will build it (no such catalogue SKU); otherwise quote RS107-D1E8H1W15 (1 GB / 8 GB, header) and RS107-D4E32H1W15 (4 GB / 32 GB, header) so the eMMC question can be priced.",23.00000,USD,ALLNET China,Lead time from any distributor: CANNOT DETERMINE - every US/CN retailer read was sold out on 2026-09-02. | Radxa direct / OEM price: CANNOT DETERMINE. radxa.com/products/zeros/zero3w/ shows no price and says the board is 'exclusively available through our network of Approved Partners'.
B4,F,NP-F550-class battery plus one dual charger per robot (whole retail kit),NP-F550 型 2S 锂电池 + 双充充电器,power,1,10,100,CANNOT DETERMINE - the maker of the fitted pack is unidentified,original pack/charger unknown; conditional whole-kit candidates,CANNOT DETERMINE,"Confirm pack and charger identity, then buy 1 set.",确认电池和充电器型号后可买 1 套。,"Identify original pack and dual charger. Conditional target NP-F550-class 2S 2600 mAh pack, reference 70 × 38 × 20 mm class; provide contact/latch drawing, continuous/pulse-current ratings and temperature limits, cell manufacturer, protection trip/recovery thresholds. Runtime 6.6/8.2 V indication is not protection or charge cutoff. Quote one battery plus one dual charger per robot, 1/100/1000 robots, exact kit contents and spare batteries separately; both-channel charger output, input connector/adapter and certification records required.",49.90000,USD,NextBatteries,"Original pack and charger supplier/revision, contact/latch dimensions and polarity unknown. | Pack continuous/pulse discharge rating, protection thresholds, cell maker and robot load profile are unconfirmed. | Charger both-channel current/termination limits and input adapter requirements need exact vendor evidence; Pollen and NextBatteries pages do not publish these. | Retail kit allocation is not a fractional purchase: N robots require N kits for one charger each, leaving N spare packs. No shared-charger assumption. | Volume stock, lead time, certification records and freight/tax destination quote unconfirmed."
B6,F,"IMX219 camera board, M12 mount, with lens",IMX219 摄像头板（M12 接口）,module,1,10,100,Arducam B0183 (representative). The module Pollen fits: CANNOT DETERMINE,representative substitute,CANNOT DETERMINE,Confirm board revision and lens; send photo/datasheet before buying.,先确认板型和镜头，购买前发照片/规格书。,"Conditional candidate only: Sony IMX219 module with nominal24x25mm-class board and M12 optics. Provide exact board revision, complete mechanical drawing/barrel dimensions, lens EFL/FOV at active crop, connector pinout/pitch/contact side and included FFC. Pollen has not fixed public camera FOV. Reject Seeed10211071938x38x16mm for this requirement. Do not infer original identity or assembled fit from sensor/outline class.",23.99000,USD,UCTRONICS (Arducam's US shop),"Which Arducam (or other) board Pollen fits, and the FFC length: CANNOT DETERMINE (docs/BOM.md B6/B8). | Whether B0183 ships with the lens: UCTRONICS says yes, The Engineer Store says no, for the same SKU. | Current UCTRONICS B0183 read2026-09-08 lists150mm22-to22 and15-to22 cables and says lens not interchangeable; Welectron lists150mm15pin1mm cable. Historical prices below retain their original observation dates; updated package evidence does not guarantee supplied revision. | Conditional B0183 includes optics; separate B7 lens cost remains an explicitly unresolved independent line, not an approved additional purchase. No camera bundle optimization is implied."
B7,F,M12 wide-angle lens (only if the camera board is bought bare),M12 广角镜头,module,1,10,100,Arducam M40180H13L (representative). Required FOV: CANNOT DETERMINE,representative substitute; the required focal length is not fixed,CANNOT DETERMINE,Quote 70/90/140 degree options; FOV not fixed.,报 70/90/140 度三种；视角未定。,"M12 (S-mount) lens for a 1/4-inch IMX219 sensor. TARGET FOV IS NOT FIXED - Pollen's press kit says the camera FOV is 'still being finalised' and the only community figure is ~62 deg HFOV, unverified. Quote 70 deg, 90 deg and 140 deg options and state the FOV ON A 1/4-INCH SENSOR, not on the sensor the datasheet happens to use: the two lenses we have priced advertise 180 deg and 122 deg but deliver 118 deg and 110 deg diagonal on a 1/4-inch part. MECHANICAL LIMIT, MEASURED: the lens in Pollen's own published model is a body of revolution 16.9400 mm in diameter and 18.9200 mm long (out/verify/mech_dims.json, mesh `lens`), inside an m12_lens_holder of 24.0000 x 14.8000 x 16.0000 mm. Barrel diameter must not exceed 16.9400 mm. An FOV selection kit (e.g. Arducam LK001) is acceptable for prototyping and is what we would buy first.",7.99000,USD,UCTRONICS,"Required FOV: CANNOT DETERMINE. Pollen's press kit says 'still being finalised'; the community figure is ~62 deg HFOV (docs/ELECTRONICS-AND-SOFTWARE.md:225, unverified). Until it is fixed this line is $0-11.99 per robot ($0 if the camera is bought as a bundle that includes a lens - B6's UCTRONICS B0183 and Pi Hut B0103 both do; the cheapest read B6 offer, Seeed 102110719 at $15.90, does NOT). | Neither priced lens is shown to be the fitted part. Measured: Pollen's `lens` mesh is 16.9400 mm diameter x 18.9200 mm long (out/verify/mech_dims.json). Arducam LN180 is 14.7000 x 17.2300 mm and fits inside it; Pi Hut LN007 is 20.0000 mm across and does not. | What is NOT measured here: the aperture in `face_part` the barrel passes through. The comparison above is against Pollen's own lens mesh, not against the hole. A 20.0000 mm barrel may or may not clash with the face; measuring that aperture would settle whether the Pi Hut lens is merely a different part or a physically impossible one."
B8,F,"22-pin 0.5 mm MIPI CSI FFC ribbon, Radxa to camera",22pin 0.5mm MIPI CSI 排线,connector,1,10,100,22-pin 0.5 mm to 15-pin 1.0 mm FPC camera cable (the Pi-Zero-class part). The ribbon Pollen fits: CANNOT DETERMINE,class identified; exact part and length unknown,PASS,Buy 100/150/200 mm one each once camera end is known.,摄像头端确定后各买一条 100/150/200mm。,"Quote CSI FFC only after exact camera and host connector identities are frozen: pin map, pitch, contact sides, stiffeners, insertion depths and routed length with bend/slack allowances. Host22pin0.5mm; camera end remains unresolved. No15mm manufacturing cut length is specified.",3.95000,USD,Adafruit,"Whether the camera board's end is 22-pin 0.5 mm or 15-pin 1.0 mm: CANNOT DETERMINE - it depends on which camera module ships (line B6), and the two cables above are 22-to-15 adaptors, not 22-to-22. | The length Pollen fits: CANNOT DETERMINE (docs/BOM.md B8). | Actual ribbon length and routing CANNOT DETERMINE. Do not compare catalog lengths against the historical15mm proxy as if it were an approved cut length."
B9,F,ToF module on four-pin J5/Qwiic interface; original carrier unknown,ToF 8×8 激光测距模块（VL53L5CX / L8CX）,sensor,1,10,100,VL53L5CX or VL53L8CX both occur per official runtime; installed carrier order code unknown,generation varies by unit; module identity and installed geometry unresolved,CANNOT DETERMINE,Quote VL53L5CX and VL53L8CX carriers with mounting drawing.,VL53L5CX 与 VL53L8CX 模块都报价，附安装尺寸图。,"Identify original carrier revision and optical/mounting geometry first. Existing interface is four-pin J5 GND/3V3/SDA/SCL with 7-bit 0x29. L5 can use 3.3 V directly; L8 requires its own compliant lower-voltage power/logic design. Request exact connector, board height, hole positions, window/crosstalk provisions and bus pull-ups. No bare-chip-on-HAT substitution implied.",25.95000,USD,SparkFun,"Installed carrier order code, regulator/bus architecture, mounting dimensions, height and optical window unconfirmed. | SparkFun Mini current manufacturer listing and DigiKey obsolete status conflict; numeric availability and 100/1000 lead time need supplier confirmation. | ST SATEL contains two boards per package; package count is modeled but header/flying-wire boards excluded as direct replacements. | Both L5 and L8 ship per runtime comments; actual unit identification required. Similar 8×8 support is not original board identity."
B10,C,Ball bearing 22 x 16 x 4 mm (thin section),微型轴承 22×16×4（MR1622）,bearing,11,110,1100,"MR1622-ZZ (aliases ET2216ZZ, SET2216, A2216, DDA2216(ZZ), 1622ZZ)",designation confirmed from dimensions; Pollen's own MPN CANNOT DETERMINE,PASS,OK to buy for 1 robot (11 pcs). Quote ZZ and open.,可买 1 台用量（11 个）。带盖和开式都报价。,"Thin-section deep-groove ball bearing, bore 16.000 mm, OD 22.000 mm, width 4.000 mm, designation MR1622 / ET2216 / DDA2216. Chrome steel (GCr15 / SAE52100) or stainless. Shield variant to be quoted BOTH ways (ZZ metal shields and open) - which one the product fits is unresolved. Press-fit into a printed PLA seat, so OD tolerance and roundness matter more than the ABEC class.",4.00000,USD,"Jiang Xin Technology (Guangdong, via made-in-china.com)",USD retail price at 11 / 1100 pieces: CANNOT DETERMINE. Only an NZD retail price and a 1000-MOQ factory RANGE were readable. | Shield variant Pollen fits (ZZ / 2RS / open): CANNOT DETERMINE - the mesh's cage band stands in for balls and cage and shows no shield either way (ce-parts/bearing-22x16x4/sourcing.json).
B11,C,Ball bearing 15 x 10 x 3 mm,微型轴承 15×10×3（MR6700 开式）,bearing,3,30,300,MR6700 / 6700 / 61700 open (dimensional candidates; original MPN unknown),"10 x 15 x 3 mm published mesh envelope confirmed; original installed manufacturer, closure and grade unknown",PASS,"OK to buy (3 pcs); 3 mm wide, not the common 4 mm 6700ZZ.",可买（3 个）；宽 3mm，不要用常见 4mm 宽的 6700ZZ 代替。,"Deep-groove ball bearing, bore 10.000 mm, OD 15.000 mm, width 3.000 mm. Quote open MR6700 / 6700 / 61700 dimensional candidates with full manufacturer, suffix, clearance, material, lubrication and tolerance data. Original closure/grade remain unknown. Reject 6700ZZ, 61700-2Z and FAG 61700-2Z-HLC 4 mm variants for this envelope; no substitution without actual-unit evidence and engineering review.",4.86000,USD,Bearings Direct (US),"Original manufacturer, closure, material, clearance, tolerance and lubricant: CANNOT DETERMINE from published mesh. Mesh bore/OD/width are 10 x 15 x 3 mm; actual-unit measurement and markings must settle installed identity. A catalog source match is not proof of the original part. | VXB's 1,000+ tier is 'OEM ... Only for Manufacturers' with no price printed, so the 3,000-piece quantity a 1,000-robot build needs is priced at VXB's 100+ tier here, as a ceiling. Bearings Direct is cheaper at every quantity read, so this does not move the roll-up. What settles it: a VXB OEM quote."
