id,packet,item,中文,category,qty per robot,qty for 10 robots,qty for 100 robots,exact part (MPN),identity status,verdict,what to do now,现在怎么做,specification for the supplier,best price we read (unit),currency,read from vendor,open questions
B3,F,Radxa ZERO 3W single-board computer,Radxa ZERO 3W 单板电脑,compute,1,10,100,1 GB LPDDR4 / 32 GB eMMC configuration absent from published Radxa catalogue; OEM SKU CANNOT DETERMINE,FAIL - the specified configuration is absent from the maker's own SKU table,FAIL,CONFIRM FIRST: the 1 GB/32 GB configuration is not in Radxa's catalogue. Propose what is in stock (2 GB/16 GB preferred).,先确认：1GB/32GB 配置官网目录没有。请报现货配置（优先 2GB/16GB）。,"Radxa ZERO 3W, RK3566 quad Cortex-A55, 40-pin GPIO header PRE-SOLDERED, 22-pin MIPI CSI 0.5 mm, Wi-Fi 6 / BT 5.4, 2x USB-C. Configuration required: 1 GB LPDDR4 with 32 GB eMMC if Radxa will build it (no such catalogue SKU); otherwise quote RS107-D1E8H1W15 (1 GB / 8 GB, header) and RS107-D4E32H1W15 (4 GB / 32 GB, header) so the eMMC question can be priced.",23.00000,USD,ALLNET China,Lead time from any distributor: CANNOT DETERMINE - every US/CN retailer read was sold out on 2026-09-02. | Radxa direct / OEM price: CANNOT DETERMINE. radxa.com/products/zeros/zero3w/ shows no price and says the board is 'exclusively available through our network of Approved Partners'.
B4,F,NP-F550-class battery plus one dual charger per robot (whole retail kit),NP-F550 型 2S 锂电池 + 双充充电器,power,1,10,100,CANNOT DETERMINE - the maker of the fitted pack is unidentified,original pack/charger unknown; conditional whole-kit candidates,CANNOT DETERMINE,"Confirm pack and charger identity, then buy 1 set.",确认电池和充电器型号后可买 1 套。,"Identify original pack and dual charger. Conditional target NP-F550-class 2S 2600 mAh pack, reference 70 × 38 × 20 mm class; provide contact/latch drawing, continuous/pulse-current ratings and temperature limits, cell manufacturer, protection trip/recovery thresholds. Runtime 6.6/8.2 V indication is not protection or charge cutoff. Quote one battery plus one dual charger per robot, 1/100/1000 robots, exact kit contents and spare batteries separately; both-channel charger output, input connector/adapter and certification records required.",49.90000,USD,NextBatteries,"Original pack and charger supplier/revision, contact/latch dimensions and polarity unknown. | Pack continuous/pulse discharge rating, protection thresholds, cell maker and robot load profile are unconfirmed. | Charger both-channel current/termination limits and input adapter requirements need exact vendor evidence; Pollen and NextBatteries pages do not publish these. | Retail kit allocation is not a fractional purchase: N robots require N kits for one charger each, leaving N spare packs. No shared-charger assumption. | Volume stock, lead time, certification records and freight/tax destination quote unconfirmed."
B6,F,"IMX219 camera board, M12 mount, with lens",IMX219 摄像头板（M12 接口）,module,1,10,100,Arducam B0183 (representative). The module Pollen fits: CANNOT DETERMINE,representative substitute,CANNOT DETERMINE,Confirm board revision and lens; send photo/datasheet before buying.,先确认板型和镜头，购买前发照片/规格书。,"Conditional candidate only: Sony IMX219 module with nominal24x25mm-class board and M12 optics. Provide exact board revision, complete mechanical drawing/barrel dimensions, lens EFL/FOV at active crop, connector pinout/pitch/contact side and included FFC. Pollen has not fixed public camera FOV. Reject Seeed10211071938x38x16mm for this requirement. Do not infer original identity or assembled fit from sensor/outline class.",23.99000,USD,UCTRONICS (Arducam's US shop),"Which Arducam (or other) board Pollen fits, and the FFC length: CANNOT DETERMINE (docs/BOM.md B6/B8). | Whether B0183 ships with the lens: UCTRONICS says yes, The Engineer Store says no, for the same SKU. | Current UCTRONICS B0183 read2026-09-08 lists150mm22-to22 and15-to22 cables and says lens not interchangeable; Welectron lists150mm15pin1mm cable. Historical prices below retain their original observation dates; updated package evidence does not guarantee supplied revision. | Conditional B0183 includes optics; separate B7 lens cost remains an explicitly unresolved independent line, not an approved additional purchase. No camera bundle optimization is implied."
B7,F,M12 wide-angle lens (only if the camera board is bought bare),M12 广角镜头,module,1,10,100,Arducam M40180H13L (representative). Required FOV: CANNOT DETERMINE,representative substitute; the required focal length is not fixed,CANNOT DETERMINE,Quote 70/90/140 degree options; FOV not fixed.,报 70/90/140 度三种；视角未定。,"M12 (S-mount) lens for a 1/4-inch IMX219 sensor. TARGET FOV IS NOT FIXED - Pollen's press kit says the camera FOV is 'still being finalised' and the only community figure is ~62 deg HFOV, unverified. Quote 70 deg, 90 deg and 140 deg options and state the FOV ON A 1/4-INCH SENSOR, not on the sensor the datasheet happens to use: the two lenses we have priced advertise 180 deg and 122 deg but deliver 118 deg and 110 deg diagonal on a 1/4-inch part. MECHANICAL LIMIT, MEASURED: the lens in Pollen's own published model is a body of revolution 16.9400 mm in diameter and 18.9200 mm long (out/verify/mech_dims.json, mesh `lens`), inside an m12_lens_holder of 24.0000 x 14.8000 x 16.0000 mm. Barrel diameter must not exceed 16.9400 mm. An FOV selection kit (e.g. Arducam LK001) is acceptable for prototyping and is what we would buy first.",7.99000,USD,UCTRONICS,"Required FOV: CANNOT DETERMINE. Pollen's press kit says 'still being finalised'; the community figure is ~62 deg HFOV (docs/ELECTRONICS-AND-SOFTWARE.md:225, unverified). Until it is fixed this line is $0-11.99 per robot ($0 if the camera is bought as a bundle that includes a lens - B6's UCTRONICS B0183 and Pi Hut B0103 both do; the cheapest read B6 offer, Seeed 102110719 at $15.90, does NOT). | Neither priced lens is shown to be the fitted part. Measured: Pollen's `lens` mesh is 16.9400 mm diameter x 18.9200 mm long (out/verify/mech_dims.json). Arducam LN180 is 14.7000 x 17.2300 mm and fits inside it; Pi Hut LN007 is 20.0000 mm across and does not. | What is NOT measured here: the aperture in `face_part` the barrel passes through. The comparison above is against Pollen's own lens mesh, not against the hole. A 20.0000 mm barrel may or may not clash with the face; measuring that aperture would settle whether the Pi Hut lens is merely a different part or a physically impossible one."
B8,F,"22-pin 0.5 mm MIPI CSI FFC ribbon, Radxa to camera",22pin 0.5mm MIPI CSI 排线,connector,1,10,100,22-pin 0.5 mm to 15-pin 1.0 mm FPC camera cable (the Pi-Zero-class part). The ribbon Pollen fits: CANNOT DETERMINE,class identified; exact part and length unknown,PASS,Buy 100/150/200 mm one each once camera end is known.,摄像头端确定后各买一条 100/150/200mm。,"Quote CSI FFC only after exact camera and host connector identities are frozen: pin map, pitch, contact sides, stiffeners, insertion depths and routed length with bend/slack allowances. Host22pin0.5mm; camera end remains unresolved. No15mm manufacturing cut length is specified.",3.95000,USD,Adafruit,"Whether the camera board's end is 22-pin 0.5 mm or 15-pin 1.0 mm: CANNOT DETERMINE - it depends on which camera module ships (line B6), and the two cables above are 22-to-15 adaptors, not 22-to-22. | The length Pollen fits: CANNOT DETERMINE (docs/BOM.md B8). | Actual ribbon length and routing CANNOT DETERMINE. Do not compare catalog lengths against the historical15mm proxy as if it were an approved cut length."
B9,F,ToF module on four-pin J5/Qwiic interface; original carrier unknown,ToF 8×8 激光测距模块（VL53L5CX / L8CX）,sensor,1,10,100,VL53L5CX or VL53L8CX both occur per official runtime; installed carrier order code unknown,generation varies by unit; module identity and installed geometry unresolved,CANNOT DETERMINE,Quote VL53L5CX and VL53L8CX carriers with mounting drawing.,VL53L5CX 与 VL53L8CX 模块都报价，附安装尺寸图。,"Identify original carrier revision and optical/mounting geometry first. Existing interface is four-pin J5 GND/3V3/SDA/SCL with 7-bit 0x29. L5 can use 3.3 V directly; L8 requires its own compliant lower-voltage power/logic design. Request exact connector, board height, hole positions, window/crosstalk provisions and bus pull-ups. No bare-chip-on-HAT substitution implied.",25.95000,USD,SparkFun,"Installed carrier order code, regulator/bus architecture, mounting dimensions, height and optical window unconfirmed. | SparkFun Mini current manufacturer listing and DigiKey obsolete status conflict; numeric availability and 100/1000 lead time need supplier confirmation. | ST SATEL contains two boards per package; package count is modeled but header/flying-wire boards excluded as direct replacements. | Both L5 and L8 ship per runtime comments; actual unit identification required. Similar 8×8 support is not original board identity."
B12,F,"Speaker, reference envelope 35 x 25 x 7 mm (head); original electrical specification unknown",喇叭 35×25×7mm 8Ω 2W（待核实）,module,1,10,100,CANNOT DETERMINE - original unit speaker not identified; local reference mesh is a 12-triangle placeholder,"unknown original; one priced conditional dimensional candidate, historical oversized offers rejected",CANNOT DETERMINE,"Buy one cheap candidate, measure, then confirm.",先买一个便宜候选，量尺寸后确认。,"Identify the original speaker first. Reference placeholder is 35.0 x 25.0 x 7.0 mm, not a measured cavity tolerance. Conditional sourcing target 8 ohm nominal, 2 W; these electrical values are representative assumptions. Request dimensioned drawing including connector/tabs, impedance, SPL test conditions, resonance and lead polarity; verify assembled acoustic and mechanical fit.",2.95000,USD,ABRA Electronics,"Original manufacturer/order code, impedance, rated power, SPL, resonance, mounting and connector identity remain unknown. | 35 x 25 x 7 mm is a 12-triangle reference placeholder, not a measured head cavity or fit tolerance. | ABRA numeric stock, MOQ, production supply, lead time and landed quote at 1/100/1000 remain unknown; current retail extensions are not volume quotes. | Thingbits electrical specifications conflict; Reichelt H variant dimensions are unverified. Historical oversized alternatives cannot be selected."
B13,F,Microphone(s),麦克风（型号未定）,module,,,,CANNOT DETERMINE,unknown,CANNOT DETERMINE,Not quotable yet (type and count unknown).,暂无法报价（类型、数量未定）。,"NOT QUOTABLE. Type (electret vs MEMS), count, package, sensitivity, position and connector are all unknown; there is no mesh for it in the MJCF, so even the cable length is unmeasurable (wiring/CABLES.md row 19 = CANNOT DETERMINE). No RFQ can be written until a production unit is opened.",,,,"Part number, type, count, position and connector: all CANNOT DETERMINE (ce-parts/microduck-mic/component.json)."
B15,F,Camera-in-use indicator LED,摄像指示 LED,ic,1,10,100,CANNOT DETERMINE,unknown,CANNOT DETERMINE,Not quotable yet.,暂无法报价。,"NOT QUOTABLE - colour, package, brightness, GPIO and whether it is on the HAT or a flying lead are all unknown.",,,,"Part, colour, package, GPIO, mounting: CANNOT DETERMINE."
B16,F,Bluetooth gamepad (Xbox-style),蓝牙手柄（Xbox 布局）,module,1,10,100,CANNOT DETERMINE,unknown,CANNOT DETERMINE,Commodity; any Xbox-layout BT gamepad.,通用件；任意 Xbox 布局蓝牙手柄。,"Bluetooth HID gamepad, Xbox-compatible mapping, pairing to the Radxa's BT 5.4 radio. Model unspecified by Pollen.",,,,Model: CANNOT DETERMINE.
