dtw	DTW (Dynamic Time Warping) python module	GPL-3.0	2026-08-29T17:05:29Z	false
proto_gimbal		Apache-2.0	2025-03-27T16:04:35Z	false
stm32f0	Rust API for the STM32F0 micro controller	Apache-2.0	2025-09-29T18:17:32Z	false
electric_dog	Replica of the original electric dog robot.	Apache-2.0	2025-03-27T16:08:21Z	false
rustamixel	Rust implementation of the protocol for Robotis Dynamixel motor.	Apache-2.0	2024-04-03T18:54:58Z	false
gazepoint	Python library to get gaze point from gazepoint device GP3	Apache-2.0	2025-03-27T16:09:34Z	false
pupil_client	Pupil client utility - retrieve gaze information from Pupil Remote	BSD-3-Clause	2018-04-23T15:22:24Z	false
rosa	Rosa : le robot qui ramasse des objets 	Apache-2.0	2025-03-27T16:12:42Z	false
brunel_hand	Python library for controlling the Brunel hand by Open Bionics	Apache-2.0	2026-03-26T09:19:42Z	false
jellylamp		Apache-2.0	2018-10-12T17:19:28Z	false
scratch-vm	Virtual Machine used to represent, run, and maintain the state of programs for Scratch 3.0	BSD-3-Clause	2019-05-03T13:11:43Z	true
scratch-gui	Graphical User Interface for creating and running Scratch 3.0 projects.	BSD-3-Clause	2019-01-28T16:39:56Z	true
tetris-over-9000		Apache-2.0	2025-03-27T16:14:03Z	false
reachy-2019	Open source interactive robot to explore real-world applications!		2026-08-16T14:11:28Z	false
reachy-2019-tictactoe	Tic-Tac-Toe playground for Reachy 2019	Apache-2.0	2023-04-21T23:11:35Z	false
reachy-2019-docs	Reachy's full documentation	Apache-2.0	2021-10-28T18:18:45Z	false
RAP	Reachy Access Point	Apache-2.0	2021-10-15T13:33:51Z	false
power-supply-board	Contains the KiCad project of the board used de separate a 12V input in several outputs to provide 12V to the different parts of Reachy.	NOASSERTION	2026-07-09T15:13:39Z	false
dxl-fan-module	Custom Luos DXL Module to add fans control	NOASSERTION	2026-02-08T18:11:50Z	false
reachy-blender	Reachy's Blender models for creatives	CC-BY-SA-4.0	2026-08-23T15:11:29Z	false
reachy-unity-package	Unity package for the Reachy 2019 robot.	Apache-2.0	2025-01-29T05:02:56Z	false
Luos-modules	Luos Module for Reachy 2021.	MIT	2023-12-30T03:29:32Z	true
reachy_moveit_config	Integration of the Reachy robot in MoveIt for ROS 1	Apache-2.0	2024-01-23T10:57:46Z	true
otis	Otis: the handwriting tool for Reachy 2019		2025-11-02T14:25:14Z	false
reachy_controllers	ROS2 Foxy package for Reachy 2021 joints, fans, sensors and image controllers.		2023-11-20T02:51:10Z	false
reachy_msgs	ROS2 Foxy package for Reachy 2021 specific messages.		2026-07-31T00:25:15Z	false
reachy-sdk-api	Reachy 2021 and 2023 SDK gRPC APIs.	Apache-2.0	2023-05-17T09:47:53Z	false
reachy_sdk_server_2021	ROS2 Foxy package for Reachy 2021 SDK gRPC server.		2023-09-25T15:16:38Z	false
reachy-sdk	Reachy 2021 and 2023 Python SDK	Apache-2.0	2026-03-23T16:53:47Z	false
reachy_pyluos_hal	Low-level communication with Reachy 2021 hardware.	Apache-2.0	2022-01-04T08:18:46Z	false
zoom_kurokesu	Python package for optical lens piloting.	Apache-2.0	2025-03-27T16:27:59Z	false
reachy-2019-masks		Apache-2.0	2025-03-27T16:28:49Z	false
reachy_kinematics	ROS2 Foxy package for Reachy 2021 kinematics (URDF, arms and head FK/IK).	Apache-2.0	2025-06-06T03:09:28Z	false
reachy-2021-docs	Documentation for Reachy 2021	Apache-2.0	2025-06-13T16:55:34Z	false
reachy_description	ROS2 Foxy package for publishing Reachy's 2021 URDF and visualizing in Rviz.	Apache-2.0	2023-05-23T09:37:47Z	false
mobile_base_controllers			2023-10-17T09:39:30Z	false
reachy2021-unity-package	Unity package for Reachy 2021	NOASSERTION	2025-10-28T19:21:46Z	false
reachy_focus	ROS2 Foxy package to perform autofocus on Reachy 2021 cameras.		2023-05-23T09:44:50Z	false
7V_converter		NOASSERTION	2026-02-08T18:11:35Z	false
cable_extension		NOASSERTION	2026-02-08T18:11:42Z	false
l0_USBA		NOASSERTION	2026-02-08T18:11:54Z	false
l0_Load		NOASSERTION	2026-02-08T18:11:52Z	false
reachy-dashboard		Apache-2.0	2025-03-27T16:31:13Z	false
trac_ik	ROS 2 port of `trac_ik`, an alternative Inverse Kinematics solver to the popular inverse Jacobian methods in KDL.	BSD-3-Clause	2021-08-08T18:18:04Z	true
reachy_description_ros2	ROS2 version of Reachy URDF model	Apache-2.0	2026-05-07T17:52:19Z	false
reachy_moveit_config_ros2	Moveit2 configuration package for Reachy	Apache-2.0	2024-04-19T10:36:55Z	false
reachy-face-tracking		Apache-2.0	2026-07-10T07:39:06Z	false
reachy_gazebo	ROS2 package for Reachy Gazebo simulation		2025-05-12T03:20:35Z	false
PyVESC	PyVESC is an easy to use and robust Python implementation of the VESC - Open Source ESC communication protocol	CC-BY-4.0	2025-01-24T13:43:20Z	true
hello-world		Apache-2.0	2025-08-10T18:05:21Z	false
rplidar_ros		BSD-2-Clause	2026-01-22T05:47:56Z	false
flashing_tools			2022-02-02T14:23:45Z	false
zuuu_hal		Apache-2.0	2026-05-27T05:59:00Z	false
zuuu_description		Apache-2.0	2026-05-27T06:08:39Z	false
Arm_kinematics		Apache-2.0	2025-03-27T17:03:10Z	false
pypot	  Python library for controlling dynamixel motors. Documentation available here:	GPL-3.0	2026-06-18T03:21:22Z	true
reachy_tips		Apache-2.0	2025-03-27T16:37:57Z	false
zuuu_interfaces			2026-05-27T05:56:24Z	false
rustypot	Communication with Dynamixel like devices.	Apache-2.0	2026-08-31T12:28:47Z	false
orbita3d_model_rs	Rust library for Orbita3D kinematics	Apache-2.0	2026-01-21T14:36:45Z	false
mobile_base_sdk_server		Apache-2.0	2026-05-27T05:58:33Z	false
mobile-base-sdk	Mobile base Python SDK for Reachy	Apache-2.0	2026-05-28T07:38:19Z	false
ethercat_controller		Apache-2.0	2025-03-07T13:52:18Z	false
ggcnn	Generative Grasping CNN from "Closing the Loop for Robotic Grasping: A Real-time, Generative Grasp Synthesis Approach" (RSS 2018)	BSD-3-Clause	2023-03-26T07:47:13Z	true
Gen6D	[ECCV2022] Gen6D: Generalizable Model-Free 6-DoF Object Pose Estimation from RGB Images	GPL-3.0	2022-11-24T09:08:35Z	true
reachy_2023	Reachy 2023 workspace	Apache-2.0	2026-08-20T10:05:37Z	false
python-coding-guidelines	Python Coding Guidelines for Pollen Robotics		2023-01-26T17:22:34Z	false
Weighted-Boxes-Fusion	Set of methods to ensemble boxes from different object detection models, including implementation of "Weighted boxes fusion (WBF)" method.	MIT	2023-01-10T17:48:43Z	true
cache_cache	Cache for controlling and reducing IO calls	Apache-2.0	2023-01-17T09:45:08Z	false
python-template	Python coding guidelines. Can be used as a template project	Apache-2.0	2026-01-26T14:22:04Z	false
