designator,value,lcsc_order_code,lcsc_link,manufacturer_mpn,quantity_1_board,quantity_100_boards,quantity_1000_boards,side,pos_x_mm,pos_y_mm,pos_rotation_deg,process_hint,status
C1,1u,C52923,https://www.lcsc.com/product-detail/C52923.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,48.800001,-15.375001,0.0,SMT review,RFQ only; no production-unit match or manufacturing release
C10,1u,C52923,https://www.lcsc.com/product-detail/C52923.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,59.260001,-13.980001,180.0,SMT review,RFQ only; no production-unit match or manufacturing release
C11,100n,C307331,https://www.lcsc.com/product-detail/C307331.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,58.225001,-12.100001,270.0,SMT review,RFQ only; no production-unit match or manufacturing release
C12,10u,C1691,https://www.lcsc.com/product-detail/C1691.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,50.455121,-9.650001,90.0,SMT review,RFQ only; no production-unit match or manufacturing release
C13,10u,C1691,https://www.lcsc.com/product-detail/C1691.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,56.155121,-9.650001,270.0,SMT review,RFQ only; no production-unit match or manufacturing release
C14,100n,C307331,https://www.lcsc.com/product-detail/C307331.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,49.340001,-7.560001,0.0,SMT review,RFQ only; no production-unit match or manufacturing release
C15,100n,C307331,https://www.lcsc.com/product-detail/C307331.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,17.100001,-16.900001,180.0,SMT review,RFQ only; no production-unit match or manufacturing release
C16,100n,C307331,https://www.lcsc.com/product-detail/C307331.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,17.550001,-6.125001,0.0,SMT review,RFQ only; no production-unit match or manufacturing release
C17,100n,C307331,https://www.lcsc.com/product-detail/C307331.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,18.212501,-11.900001,90.0,SMT review,RFQ only; no production-unit match or manufacturing release
C18,100n,C307331,https://www.lcsc.com/product-detail/C307331.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,7.705121,-10.337501,180.0,SMT review,RFQ only; no production-unit match or manufacturing release
C19,10u 63V,C72488,https://www.lcsc.com/product-detail/C72488.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,19.657381,-21.300001,270.0,SMT review,RFQ only; no production-unit match or manufacturing release
C2,1u,C52923,https://www.lcsc.com/product-detail/C52923.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,48.775001,-14.150001,0.0,SMT review,RFQ only; no production-unit match or manufacturing release
C20,100n 50V,C307331,https://www.lcsc.com/product-detail/C307331.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,24.540001,-18.800001,0.0,SMT review,RFQ only; no production-unit match or manufacturing release
C21,22u 6V3,C84419,https://www.lcsc.com/product-detail/C84419.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,24.857381,-25.137501,180.0,SMT review,RFQ only; no production-unit match or manufacturing release
C22,22u 6V3,C84419,https://www.lcsc.com/product-detail/C84419.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,bottom,22.500001,-23.900001,0.0,SMT review,RFQ only; no production-unit match or manufacturing release
C23,100n 6V3,C1525,https://www.lcsc.com/product-detail/C1525.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,20.200001,-5.800001,0.0,SMT review,RFQ only; no production-unit match or manufacturing release
C24,100n 6V3,C1525,https://www.lcsc.com/product-detail/C1525.html,Resolve supplier order code; value field is not a guaranteed full MPN,1,100,1000,top,19.300001,-12.300001,0.0,SMT review,RFQ only; no production-unit match or manufacturing release
